date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,walking,transit,driving,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guideline,foreign travel ban,cases,deaths,PopulationEstimate65+2017,CensusPopulation2010,#EligibleforMedicare2018,"MedicareEnrollment,AgedTot2017",#FTEHospitalTotal2017,"TotalM.D.'s,TotNon-FedandFed2017",PopMale<52010,PopFmle<52010,PopMale5-92010,PopFmle5-92010,PopMale10-142010,PopFmle10-142010,PopMale15-192010,PopFmle15-192010,PopMale20-242010,PopFmle20-242010,PopMale25-292010,PopFmle25-292010,PopMale30-342010,PopFmle30-342010,PopMale35-442010,PopFmle35-442010,PopMale45-542010,PopFmle45-542010,PopMale55-592010,PopFmle55-592010,PopMale60-642010,PopFmle60-642010,PopMale65-742010,PopFmle65-742010,PopMale75-842010,PopFmle75-842010,PopMale>842010,PopFmle>842010,forMask,notForMask
1/23/20,0,0,0,0,0,0,0.057575758,0.050802139,0.092262517,1,1,1,1,1,1,1,1,0,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
1/24/20,0,0,0,0,0,0,0.254978355,0.090909091,0.273995753,1,1,1,1,1,1,1,1,0,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
1/25/20,0,0,0,0,0,0,0.39047619,-0.065240642,0.226477987,1,1,1,1,1,1,1,1,1,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
1/26/20,0,0,0,0,0,0,-0.044588745,-0.220320856,-0.051088785,1,1,1,1,1,1,1,1,1,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
1/27/20,0,0,0,0,0,0,-0.004329004,0.053475936,0.006536797,1,1,1,1,1,1,1,1,0,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
1/28/20,0,0,0,0,0,0,0.010822511,0.026737968,0.03169648,1,1,1,1,1,1,1,1,0,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
1/29/20,0,0,0,0,0,0,0.025541126,0.04171123,0.037701544,1,1,1,1,1,1,1,1,0,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
1/30/20,0,0,0,0,0,0,0.045454545,0.022994652,0.084140325,1,1,1,1,1,1,1,1,0,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
1/31/20,0,0,0,0,0,0,0.241558442,0.065775401,0.272542677,1,1,1,1,1,1,1,1,1,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
2/1/20,0,0,0,0,0,0,0.407359307,-0.040106952,0.232612105,1,1,1,1,1,1,1,1,0,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
