date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,walking,transit,driving,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guideline,foreign travel ban,cases,deaths,PopulationEstimate65+2017,CensusPopulation2010,#EligibleforMedicare2018,"MedicareEnrollment,AgedTot2017",#FTEHospitalTotal2017,"TotalM.D.'s,TotNon-FedandFed2017",PopMale<52010,PopFmle<52010,PopMale5-92010,PopFmle5-92010,PopMale10-142010,PopFmle10-142010,PopMale15-192010,PopFmle15-192010,PopMale20-242010,PopFmle20-242010,PopMale25-292010,PopFmle25-292010,PopMale30-342010,PopFmle30-342010,PopMale35-442010,PopFmle35-442010,PopMale45-542010,PopFmle45-542010,PopMale55-592010,PopFmle55-592010,PopMale60-642010,PopFmle60-642010,PopMale65-742010,PopFmle65-742010,PopMale75-842010,PopFmle75-842010,PopMale>842010,PopFmle>842010,forMask,notForMask
2/2/2020,0,0,0,0,0,0,-0.086363636,-0.254545455,-0.141298701,1,1,1,1,1,1,1,1,0,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
2/3/2020,0,0,0,0,0,0,0.059090909,0.018181818,0.083701299,1,1,1,1,1,1,1,1,0,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
2/4/2020,0,0,0,0,0,0,0.054545455,0.031818182,0.102857143,1,1,1,1,1,1,1,1,0,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
2/5/2020,0,0,0,0,0,0,0.031818182,0.004545455,0.102922078,1,1,1,1,1,1,1,1,0,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
2/6/2020,0,0,0,0,0,0,0.127272727,0.027272727,0.171753247,1,1,1,1,1,1,1,1,0,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
2/7/2020,0,0,0,0,0,0,0.377272727,0.1,0.356558442,1,1,1,1,1,1,1,1,0,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
2/8/2020,0,0,0,0,0,0,0.459090909,-0.013636364,0.32525974,1,1,1,1,1,1,1,1,0,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
2/9/2020,0,0,0,0,0,0,-0.059090909,-0.218181818,-0.052987013,1,1,1,1,1,1,1,1,0,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
2/10/2020,0,0,0,0,0,0,0.036363636,0,0.07512987,1,1,1,1,1,1,1,1,0,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
2/11/2020,0,0,0,0,0,0,0.054545455,0.009090909,0.106623377,1,1,1,1,1,1,1,1,0,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
